,,,,,,
Lunes,Actividad,Inicio ,Duración,Final,Participantes,Espacios
10 de noviembre 2025,Inaguración,8:30 hrs,45m,09:15,Funcionarios,250
,,,,,Comité de Organiazción ,
,,,,,Staff,
,,,,,Docentes,
,"Conferencia: Título I.A. en la Industria Automotriz
Dr.José María Celaya Padilla",09:30,60m,10:30,"Alumnos, académicos, docentes",250
,Receso ,10:00,30m,10:30,,
,Inicio de Talleres,,,,,
,"Taller: Implementación de HMI en Raspberry Pi con Ubuntu y Qt
Ubicación: Laboratorio de Cómputo",10:45,3hrs,13:45,"Alumnos, académicos, docentes",30
,"Taller: Diseño e imprecion 3D
Ubicación: Por definir                                                                                         SUSECTIBLE A CAMBIOS                                       ",10:45,3hrs,13:45,"Alumnos, académicos, docentes",30
,"Taller:  El empuje
Ubicación: Laboratorio de Física                                                          ",10:45,3hrs,13:45,"Alumnos, académicos, docentes",30
,"Taller: Impresión con resina, Ubiccación, Laboratorio de Química 2",10:45,3hrs,13:45,"Alumnos, académicos, docentes",14
,"Taller: Fabricación de PCB con película seca fotosensible para prototipado
Ubiccación, Laboratorio de Electrónica",10:45,3hrs,13:45,"Alumnos, académicos, docentes",15
,Otros talleres,10:45,3hrs,13:45,"Alumnos, académicos, docentes",
,Encuentros  deportivos (Volibol),14:00,2hrs,16:00,"Alumnos, académicos, docentes",
Martes,Actividad,Inicio ,Duración,Final,Participantes,Espacios
11 de noviembre de 2025,"Conferencia: Título: El lenguaje del control: cómo los ingenieros gobiernan el movimiento, la vida y la energía
Dr. Luis Tupak Aguilar Bustos
CITEDI IPN",09:30,60m,10:30,"Alumnos, académicos, docentes",250
,Receso ,10:00,30m,10:30,,
,Exhibición de posters (Domo Ligeros),10:00,4hrs,14:00,"Alumnos, académicos, docentes",
,Inicio de Talleres,,,,,
,"Taller: Implementación de HMI en Raspberry Pi con Ubuntu y Qt
Ubicación: Laboratorio de Cómputo",10:45,3hrs,13:45,"Alumnos, académicos, docentes",30
,"Taller: Diseño e imprecion 3D
Ubicación: Por definir                                                                                         SUSECTIBLE A CAMBIOS                                       ",10:45,3hrs,13:45,"Alumnos, académicos, docentes",30
,"Taller:  El empuje
Ubicación: Laboratorio de Física",10:45,3hrs,13:45,"Alumnos, académicos, docentes",30
,"Taller: Fabricación de PCB con película seca fotosensible para prototipado
Ubiccación, Laboratorio de Electrónica",10:45,3hrs,13:45,"Alumnos, académicos, docentes",15
,"Taller: Impresión con resina, Ubiccación, Laboratorio de Química 2",10:45,3hrs,13:45,"Alumnos, académicos, docentes",25
,Otros talleres,10:45,3hrs,13:45,"Alumnos, académicos, docentes",
,Encuentros deportivos (Futbol),14:00,2hrs,16:00,"Alumnos, académicos, docentes",
Miercoles,Actividad,Inicio ,Duración,Final,Participantes,Espacios
12 de noviembre de 2025,"Conferencia: Título: De la robótica de servicio al espacio: integración mecatrónica para sistemas autónomos terrestres y espaciales
Dr., Héctor Simón Vargas Martínez, 
Profesor Investigador de UPAEP 
",09:30,60m,10:30,"Alumnos, académicos, docentes",250
,Receso ,10:00,30m,10:30,,
,Inicio de Talleres,,,,,
,"Taller: Implementación de HMI en Raspberry Pi con Ubuntu y Qt
Ubicación: Laboratorio de Cómputo",10:45,3hrs,13:45,"Alumnos, académicos, docentes",30
,"Taller: Diseño e imprecion 3D
Ubicación: Por definir                                                                                         SUSECTIBLE A CAMBIOS                                       ",10:45,3hrs,13:45,"Alumnos, académicos, docentes",30
,"Taller:  El empuje
Ubicación: Laboratorio de Física",10:45,3hrs,13:45,"Alumnos, académicos, docentes",30
,"Taller: Fabricación de PCB con película seca fotosensible para prototipado
Ubiccación, Laboratorio de Electrónica",10:45,3hrs,13:45,"Alumnos, académicos, docentes",15
,"Taller: Impresión con resina, Ubiccación, Laboratorio de Química 2",10:45,3hrs,13:45,"Alumnos, académicos, docentes",25
,Otros talleres,10:45,3hrs,13:45,"Alumnos, académicos, docentes",
,Carrera de Carretones,13:00,*,*,"Alumnos, académicos, docentes",
,Concurso de robotica,13:00,*,*,"Alumnos, académicos, docentes",
Jueves,Actividad,Inicio ,Duración,Final,Participantes,Espacios
13 de noviembre de 2025,"Conferencia: Título:  Del robot móvil al humanoide: desafíos mecatrónicos en la locomoción, percepción y control de robots bípedos                                                                                                                                              Dr., Marco Antonio Negrete Villanueva",09:30,60m,10:30,"Alumnos, académicos, docentes",250
,Receso ,10:00,30m,10:30,,
,Inicio de Talleres,,,,,
,"Taller: Implementación de HMI en Raspberry Pi con Ubuntu y Qt
Ubicación: Laboratorio de Cómputo",10:45,3hrs,13:45,"Alumnos, académicos, docentes",30
,"Taller: Diseño e imprecion 3D
Ubicación: Por definir                                                                                         SUSECTIBLE A CAMBIOS                                       ",10:45,3hrs,13:45,"Alumnos, académicos, docentes",30
,"Taller:  El empuje
Ubicación: Laboratorio de Física",10:45,3hrs,13:45,"Alumnos, académicos, docentes",30
,"Taller: Fabricación de PCB con película seca fotosensible para prototipado
Ubiccación, Laboratorio de Electrónica",10:45,3hrs,13:45,"Alumnos, académicos, docentes",15
,"Taller: Impresión con resina, Ubiccación, Laboratorio de Química 2",10:45,3hrs,13:45,"Alumnos, académicos, docentes",25
,Platica de egresados,11:30,45min,12:15,"Alumnos, académicos, docentes",
,Rally,13:00,60min,14:00,"Alumnos, académicos, docentes",
Viernes,Actividad,Inicio ,Duración,Final,Participantes,Espacios
14 de noviembre de 2025,"Conferencia: Título: Markovito: Robot de Servicio                                              Dr., Luis Enrique Sucar Succar",09:30,60min,10:30,"Alumnos, académicos, docentes",250
,Receso ,10:00,30min,10:30,,
,Clausura,11:00,30min,11:30,"Alumnos, académicos, docentes",
,100 Burros dijeron ,11:30,90min,13:00,"Alumnos, académicos, docentes",
,Rifa,13:00,30min,13:30,"Alumnos, académicos, docentes",
,Comida,14:00,90min,15:30,"Alumnos, académicos, docentes",
,Callejoneada*,*,,,"Alumnos, académicos, docentes",
