NOMBRE,TITULO
Andrea Lizbeth Martínez Salas,"Control PD adaptativo para seguimiento de carril en vehículo autónomo a escala 1:10"
Luis Fernando Ávila Ríos,"Fusión de IMU y odometría para estimación de estado en plataformas móviles de bajo costo"
Diana Paola Hernández Vázquez,"Segmentación semántica ligera para detección de pista en condiciones de iluminación variable"
José Manuel García Trejo,"Detección de obstáculos con LiDAR 2D usando clustering DBSCAN en tiempo real"
Karla Itzel Ramírez Fuentes,"Comparativa de YOLOv8 y YOLOv10 para reconocimiento de señales de tránsito pequeñas"
Miguel Ángel Rodríguez Pinedo,"Optimización de parámetros de control lateral mediante ajuste basado en datos experimentales"
María Fernanda López Castañeda,"Pipeline de visión con RealSense para navegación autónoma: diseño e implementación"
Sergio Iván Chávez Medina,"Modelo cinemático y validación experimental de un auto a escala para pruebas de control"
Valeria Guadalupe Ortega Nieto,"Análisis de latencia y FPS en inferencia de redes neuronales en hardware embebido"
Ricardo Alejandro Torres Esparza,"Detección de carriles con filtrado HSV y morfología matemática en escenarios de alto ruido"
Paola Ximena Sánchez Aguilar,"Estrategias de evasión de obstáculos con máquina de estados para AutoModelCar"
Héctor Daniel Méndez Salazar,"Estimación de curvatura de pista y su efecto en el control de trayectoria"
Yazmín Berenice Flores Carrillo,"Diseño de interfaz GUI para monitoreo y telemetría de vehículo autónomo"
Jesús Eduardo Ramírez Campos,"Evaluación de robustez ante oclusiones parciales en detección de señales con YOLO"
Nancy Arlette Vega Sosa,"Calibración de cámara y corrección de perspectiva para seguimiento de carril"
Oscar Jair Martínez Pacheco,"Planeación reactiva basada en zona libre con LiDAR para navegación en pista"
Camila Sofía Navarro Jiménez,"Reducción de falsos positivos en detección de objetos mediante post-procesamiento geométrico"
Alan Yael Zúñiga Montoya,"Registro y análisis de métricas de control: error lateral, sobreimpulso y tiempo de establecimiento"
Jorge Luis Sánchez García,"Implementación de control longitudinal con rampas de velocidad y limitación de aceleración"
Mónica Judith Chávez Soto,"Sistema de evaluación experimental para pruebas repetibles de percepción y control en pista"
