NOMBRE,TITULO
M. en C. Rafael Reveles Martínez,Coordinador General de la Semana de Mecatrónica 2025
M. en C. Flabio Dario Mirelez Delgado,Comité Organización
M. en I. Umanel Azazael Hernández González,Comité Organización
M. en C. Roberto Oswaldo Cruz Leija,Comité Organización
Dr. Sergio Domínguez Sánchez,Comité Organización
M. en I. Rafael Flores Pinedo,Comité Organización
M. en C. Carlos Daniel Rico Mandujano,Comité Organización
Ing. Javier Ramírez Mora,Comité Organización
Ing. Addried Samir Moreno Castro,Comité Organización
Ing. Jesús Álvarez Montufar,Comité Organización
M. en C. Carlos Cuevas Cortés,Comité Organización
Dr. Miguel Ángel Moreno Báez,Comité Organización
M. en C. Omar Désiga Orenday,Comité Organización
M. en PPPP Jorge Talavera Otero,Comité Organización
C. Christian Emmanuel Castruita Alaniz,Club de Robótica
C. Kaled Hernández López,Club de Robótica
C. Luis Carlos Guerrero Velázquez,Club de Robótica
C. Manrique Alexander Chávez Castellón,Club de Robótica
C. Francisco Alejandro Sánchez Barrientos,Club de Robótica
C. Erick Yahir Guerrero Solis,Club de Robótica
C. José Eduardo del Real Varela,Club de Robótica
C. Bernardo Venegas García,Club de Robótica
C. Angel Eduardo Castañón Acosta,Club de Robótica
C. Emilio Esteban Cardenas Tovar,Club de Robótica
C. Josué Abdiel Hernández Félix,Club de Robótica
C. Leonardo Dario Ornelas Mejia,Club de Robótica
C. Adan Torres Gutierrez,Club de Robótica
C. Axel Perea Pinedo,Club de Robótica
